id,total_validators,p_active_slots,p_created_blocks,non_empty_block,empty_block,vanilla_blocks,a_active_epochs,a_attested_epochs,a_attested_source,a_attested_target,a_attested_head,inc_distance,sync_rate,block_reward,validation_reward,total_reward,proposal_effectiveness,correctness,attestation_rate,att_effectiveness,effectiveness,partition_date
Allnodes,8916,82,82,81,0,81,2006100,2005863,2005137,2004882.0,1982557,1.0192722965846037,99.62216267234844,1.561543471241023,24.237987327999257,25.799530799236322,0.9878048780487805,0.995725703271688,0.9998818603260057,0.976783212786041,0.9809163372595682,2024-01-17
Prysm Team at Offchain Labs,10001,80,79,79,0,17,2250225,2223650,2232447,2234846.0,2105285,1.0858366076772277,90.16730215761443,6.188982666092827,25.509736497999377,31.69871916408777,0.9875,0.9736178974695123,0.9881900698819007,0.8860629042492766,0.9241018151557979,2024-01-17
P2P.ORG - P2P Validator,8878,74,74,74,0,2,1997550,1997265,1996512,1995911.0,1971266,1.0194854671245628,97.79656974846631,6.6313762523932125,23.812829679999073,30.44420593238832,1.0,0.9951672465436827,0.9998573252233987,0.9760073030619542,0.9850045644137213,2024-01-17
CryptoManufaktur,10001,72,72,72,0,0,2250225,2250160,2249376,2249515.0,2224218,1.0138723967036163,99.17941887994975,9.338814629729455,26.67195850700345,36.01077313673742,1.0,0.9959165564924989,0.9999711139997112,0.9822614676999503,0.988913417312469,2024-01-18
Launchnodes,2562,23,23,23,0,1,576450,575245,573909,574742.0,540439,1.0726245352643897,92.521421625,1.1688100886309778,6.669102849000033,7.83791293763074,1.0,0.9767195767195768,0.9979096192210947,0.9086850326892575,0.942928145430786,2024-01-18
Figment,8928,75,75,75,0,1,2008800,2008610,2007836,2006997.0,1981141,1.016194277567259,98.40062545851534,5.541550765387908,24.27886161600257,29.820412381392682,1.0,0.9949512146555157,0.999905416168857,0.9790028642352658,0.9868767901470411,2024-01-18
DSRV,8905,79,79,79,0,0,2003625,2002920,2002170,2000503.0,1962932,1.019971531272178,95.54366990844616,6.145258129856401,24.336337246002362,30.481595375860728,1.0,0.9924686505708403,0.9996481377503276,0.9726932643710968,0.9829332902319355,2024-01-18
Chorus One,8853,68,68,67,0,0,1991925,1991684,1989099,1990587.0,1953838,1.0289379527359828,98.27141557866668,9.957315886435598,23.56927937600224,33.5265952624399,0.9852941176470589,0.9929296200074468,0.9998790115089674,0.9648876147595729,0.9725400533423801,2024-01-18
SenseiNode,7000,51,47,47,0,1,1575000,1570419,1572938,1572382.0,1544084,1.0179452087868242,97.69416344533334,3.7125527446797486,18.378858917999228,22.091411662679384,0.9215686274509803,0.992466455026455,0.9970914285714285,0.9721346364318761,0.9531723830640403,2024-01-18
RockLogic GmbH,8558,73,73,73,0,0,1925550,1924986,1923742,1923075.0,1884074,1.0228035798956243,96.66285104990281,6.3492832270896535,23.30393939300328,29.653222620096667,1.0,0.9920786268858248,0.9997070966736776,0.9696759605175094,0.9810474753234434,2024-01-18
Attestant (BVI) Limited,10001,77,77,77,0,21,2250225,2250220,2249515,2249922.0,2227028,1.0130662489306619,99.25618967166601,5.105836725567407,27.4943994990033,32.600236224575134,1.0,0.9964136919641369,0.9999977779999778,0.9835600376427992,0.9897250235267495,2024-01-18
A41,5752,43,43,43,0,0,1253913,1253781,1253372,1252748.0,1235973,1.0149158149268205,98.17422205882355,3.7096451905561634,15.272270825999898,18.981916016556077,1.0,0.9947774154453565,0.9998947295386522,0.9800543849438529,0.9875339905899081,2024-01-18
Stakin,9993,78,78,78,0,48,2248425,2247755,2246529,2244808.0,2194108,1.0210376267568044,98.54745571007054,6.056112893984831,26.78615281900308,32.84226571299157,1.0,0.9911300873574465,0.9997020136317645,0.9704194224942775,0.9815121390589234,2024-01-18
ChainSafe,10000,87,87,86,0,53,2250000,2246946,2248810,2247895.0,2214159,1.0154785345061321,98.18582767872907,7.512796013407058,26.923594379003397,34.436390392414864,0.9885057471264368,0.9942020740740741,0.9986426666666667,0.977718953893721,0.9817640013559894,2024-01-18
