,operator_address,operator_id,percentage,quorum_id,total_batches,total_unsigned_batches,timestamp,total_percentage,frequency
13156,0xeba5b526b5a0636196bacb3b137be143adcb6ca6,0x145b636c35a83c7c7556c0e7dec00a749d211b0657f89784a568416e0a25e2c2,0.0,0,143,0,1712836800,0.0102459016393442,61
13155,0xe5801326014db4f6729264db38f5f5430bc2fbfa,0x3a6f497e1db3dcc4aec8b8822f9bc3f35c8dccc361505cb308d0015c3793f567,0.0,0,143,0,1712836800,0.0,61
13154,0xe25480334fc57a4f38f081e87cdfeeeaf09779c9,0xdae28f1990cf3b9624990b150b9fdc900263c94398b54139807ece31cedcf02a,0.4475524475524476,0,143,64,1712836800,0.4475524475524476,60
13152,0xdb9afbdcfeca94dfb25790c900c527969e78bd3c,0x57279ee111eae047c50148a1828b367aab0de682a8b2f871773b7ceedfec0ccf,0.0,0,143,0,1712836800,0.0304457130140693,61
13151,0xd172a86a0f250aec23ee19c759a8e73621fe3c10,0xfcaffb0c80a3202d233f2b2b037a17528706afb73b1ac21194b3708177c8f301,0.0,0,143,0,1712836800,0.051087984422527495,61
13150,0xccaa639d3afdc77b562a4673b2ecde6770349675,0x4af3dac73046df0094622345c6546dafd0125ac82675783c76939c70c90c3583,0.0,0,143,0,1712836800,0.0117647058823529,61
13153,0xdbed88d83176316fc46797b43adee927dc2ff2f5,0x0058fc08ccd6efbfa1b28be52f2f97a34e2168217f144bbb680a537d2ca18111,0.0,0,143,0,1712836800,0.9398961752850958,60
13148,0xb81b18c988bfc7d131fca985a9c531f325e98a2f,0x52cdf25657d146c979e43ac697ed359fc5efb203895b5ed797b3c534e6354eb0,0.8461538461538461,0,143,121,1712836800,1.0953854152383562,61
13147,0xb1ea8424075a71cd97f95ed64069241ffd4833be,0xdc9181f5b57437dcaaf3bb375cb770220dd467a179bdcab6f03e752face8d62e,0.0,0,143,0,1712836800,0.0069444444444444,61
13146,0xa83e07353a9ed2af88e7281a2fa7719c01356d8e,0xc6605b3131884ae314f8c89b4cbcf89f55765a5ccb2242596d6fa04546c4a6a4,0.0,0,143,0,1712836800,0.0386294093901967,61
13145,0xa42cd0029f681b08b61f535e846f2a36f468c1c2,0x571acc1fd08b9f09262d7c3bcd1f92045e6632f62c1010776baec5e71f8f0714,0.0069930069930069,0,143,1,1712836800,0.0069930069930069,60
13144,0xa3ff1491088715d140bc821a28287cb3f71b43e4,0x35a645a980a13c0cb3024a5e78408ddde2b5affd306cd331ce2be9cd5968ca23,0.0,0,143,0,1712836800,0.034508799157172296,61
13143,0xa305f083428f6ddb9a287d92e0aa109ea05f342a,0x8d4e5576c75115b4f0206d4af8bcbf5fb807607b9ad204a0884ad269981132f3,0.0069930069930069,0,143,1,1712836800,0.0187577128753598,61
13149,0xcaaeb411241ac87b5846797c15bf339a54a1d736,0x53db8d725c0ab3508a316c447486588e8ecf3f0e312e1eb660a78cc4da0435b9,0.0,0,143,0,1712836800,0.4267090620031795,61
13095,0x4cd2086e1d708e65db5d4f5712a9ca46ed4bbd0a,0x62fd7709add808809511fe2d3a230cd9cb7321cc2f47e2c35fd959d0449be8ee,0.0,0,137,0,1712923200,1.25677191550481,61
13101,0x71c6f7ed8c2d4925d0baf16f6a85bb1736d412eb,0xd91c7c8888da9062e48e92d20813dfa8ce7f581d327b36237040354c5159db0e,0.0,0,137,0,1712923200,4.953529941725742,60
13100,0x67fc8951c64e6ff8921fe6cd004c2224ec7eecfd,0x5449c61f4d7836d10de82e8ad4a77810589ab145061da0338929c6561545b44c,0.0,0,137,0,1712923200,0.1415849673202614,61
13099,0x6573629204b65faac121c1b556b91a694d0e23c8,0x7bd201d192cd84f224b5fc8fd8b3ce7ce8009021d4253d57dc44e7276fc20ae0,0.0364963503649634,0,137,5,1712923200,0.1922688069203785,61
13098,0x5accc90436492f24e6af278569691e2c942a676d,0x475ca3b08b5861bb0f8e49ebc14775847cf531c6c16a1473d4610d6f609f179c,0.0802919708029197,0,137,11,1712923200,0.4635972722341549,61
13097,0x542a97bad0352990a1f23d627400a599b1cad6c4,0x83a970734199a554104e51933e39e7f712000abb43de137401120483a36bce50,0.0,0,137,0,1712923200,0.0,59
13096,0x529ec9ac9a80428cf8c92557f2eb1b336616f543,0xdc504cf506e8b0562bf55d13e75704869c2e80b2c17ce834840e7baaf1ffed7a,0.0,0,137,0,1712923200,2.712455464639725,61
